project_name;files_ok;files_erros
esphome/esphome-docs;10;0
hacs/default;26;0
ansible-collections/community.general;1029;0
thealgorithms/python;2173;0
josephmisiti/awesome-machine-learning;2174;0
public-apis-dev/public-apis;2180;0
adapter-hub/adapter-transformers;3971;0
huggingface/datasets;4212;0
tasmota/docs;4213;0
pytorch/tutorials;4354;0
dask/dask;4605;0
aio-libs/aiohttp;4735;0
keras-team/keras;5446;0
pennersr/django-allauth;6147;0
astropy/astropy;7078;0
psf/requests;7113;0
geekcomputers/python;7664;16
readthedocs/readthedocs.org;8441;0
pallets/flask;8520;0
googlecloudplatform/python-docs-samples;10510;0
explosion/spacy;11315;0
sqlalchemy/sqlalchemy;11959;0
cloudtools/troposphere;12468;0
joke2k/faker;13121;0
celery/celery;13457;0
emeryberger/csrankings;13479;3
pallets/werkzeug;13607;0
wbond/package_control_channel;13613;0
certbot/certbot;13963;0
ytdl-org/youtube-dl;14843;0
jupyter-server/jupyter_server;15030;0
ytdl-patched/ytdl-patched;16188;0
mitmproxy/mitmproxy;16740;0
tlc-pack/relax;19118;0
pypa/setuptools;19501;1
conan-io/conan-center-index;23193;0
datadog/integrations-core;26859;4
encode/django-rest-framework;27017;0
pytest-dev/pytest;27266;0
python-social-auth/social-core;27594;0
cython/cython;27948;6
pygments/pygments;28316;1
python/peps;28356;0
rare-technologies/gensim;28537;0
django-extensions/django-extensions;28781;0
pyinstaller/pyinstaller;29794;1
tensorflow/models;32079;3
scrapy/scrapy;32419;0
pypa/pipenv;33211;0
tiangolo/fastapi;34013;0
sickchill/sickchill;34321;0
spulec/moto;35815;0
lra/mackup;35827;0
openai/gym;36014;0
pydata/xarray;36188;0
pycord-development/pycord;36367;0
vinta/awesome-python;36368;0
ardupilot/ardupilot_wiki;36384;0
docker/docker-py;36522;0
azure/azure-cli-extensions;47736;13
conda/conda;48041;0
beetbox/beets;48222;0
nltk/nltk;48585;0
qiskit/qiskit-terra;50243;0
spotify/luigi;50497;0
exercism/python;50972;0
scikit-image/scikit-image;51519;0
python-pillow/pillow;51799;0
tornadoweb/tornado;51907;0
googlecloudplatform/community;51981;2
getredash/redash;52243;0
qutebrowser/qutebrowser;52664;0
liberapay/liberapay.com;52780;0
microsoftdocs/visualstudio-docs;52781;0
buildbot/buildbot;53657;0
cloud-custodian/cloud-custodian;54500;0
apache/libcloud;55278;0
paddlepaddle/docs;55291;0
statsmodels/statsmodels;56468;0
kivy/kivy;56932;0
nextcord/nextcord;57197;0
django-cms/django-cms;57552;0
shinya7y/universenet;58941;0
openstack/project-config;58962;0
mattermost/docs;58972;0
secdev/scapy;59320;0
openstack/requirements;59363;0
openstack/python-openstackclient;59825;0
cookiecutter/cookiecutter-django;59869;20
psf/black;60034;21
rasahq/rasa;60611;0
kubeflow/pipelines;62080;3
ishaan28malik/hacktoberfest-2023;62147;1
openstack/tripleo-heat-templates;62182;0
openstack/openstacksdk;63211;0
manimcommunity/manim;63505;0
disnakedev/disnake;63712;0
pydantic/pydantic;63941;1
ros/rosdistro;63978;0
openstack/ironic;64552;0
pypi/warehouse;65167;1
biopython/biopython;65766;0
number5/cloud-init;66278;0
benoitc/gunicorn;66437;0
swcarpentry/python-novice-inflammation;66464;0
awslabs/open-data-registry;66465;0
flexget/flexget;67104;0
openstack/heat;67965;0
spesmilo/electrum;68318;0
openstack/python-novaclient;68456;0
canonical/cloud-init;68968;0
celery/kombu;69141;0
pallets/click;69204;0
aws/aws-cli;69795;0
redis/redis-py;69922;0
mozilla/addons-server;70991;3
openstack/ceilometer;71216;0
openstack/rally;71573;0
facebookresearch/fairseq;72486;0
openstack/nova;73975;0
nexb/scancode-toolkit;74472;32
isocpp/cppcoreguidelines;74475;0
openstack/manila;75288;0
openstack/swift;75662;0
aesara-devs/aesara;76066;2
ansible/awx;76994;0
googleapis/google-cloud-python;77476;0
