name,commits,branches,contributors,watchers,stargazers,forks,createdAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests
esphome/esphome-docs,3074,17,481,19,239,1111,2018-05-13 09:37:21,2022-08-18 01:44:28,41,1,2260,73
hacs/default,1274,3,478,33,241,599,2019-10-20 04:23:04,2022-10-22 10:18:20,35,0,1516,25
ansible-collections/community.general,1983,6,469,23,520,973,2020-02-03 08:01:27,2022-09-26 05:00:47,1201,431,4073,45
thealgorithms/python,2456,17,451,6052,144648,36852,2016-07-16 09:44:01,2022-09-20 01:10:25,1075,27,5185,231
josephmisiti/awesome-machine-learning,1785,2,441,3392,56542,13622,2014-07-15 07:11:19,2022-10-29 06:53:26,77,0,803,3
public-apis-dev/public-apis,4563,1,437,5,291,38,2022-05-11 06:31:22,2022-10-19 04:39:25,11,8,31,2
adapter-hub/adapter-transformers,10966,3,432,20,1090,189,2020-04-21 04:21:43,2022-11-21 01:40:35,239,37,213,6
huggingface/datasets,3014,141,430,251,14008,1819,2020-03-26 09:23:22,2022-08-29 08:10:48,1732,471,3100,117
tasmota/docs,4680,3,429,15,110,586,2019-11-18 03:43:30,2022-10-19 11:54:25,57,3,1033,4
pytorch/tutorials,1855,67,428,163,6298,3454,2016-09-30 11:48:36,2022-09-05 03:02:25,565,176,1454,53
dask/dask,7330,3,425,221,10231,1521,2015-01-04 06:50:00,2022-08-21 05:22:39,4417,674,4794,93
aio-libs/aiohttp,8568,76,423,230,12772,1787,2013-10-01 11:04:01,2022-09-01 11:52:16,2614,362,4159,114
keras-team/keras,7308,115,423,1942,56080,19173,2015-03-28 12:35:42,2022-09-05 09:53:07,11449,250,5503,85
pennersr/django-allauth,2467,3,414,192,7536,2666,2010-10-10 08:10:52,2022-10-29 06:51:09,1883,311,1283,61
astropy/astropy,33721,22,412,139,3450,1531,2011-07-21 01:33:49,2022-08-14 07:12:04,5255,1180,8280,68
psf/requests,6128,6,409,1364,48293,8880,2011-02-13 06:38:17,2022-09-30 04:31:35,3641,190,2324,62
geekcomputers/python,3004,1,409,2464,26580,11218,2011-11-30 09:04:08,2022-10-29 07:28:35,284,181,1482,89
readthedocs/readthedocs.org,19312,84,408,241,7182,3608,2010-08-16 07:18:06,2022-08-08 06:14:55,4810,356,4491,52
pallets/flask,4847,7,408,2150,60620,15253,2010-04-06 11:11:59,2022-09-23 06:03:02,2402,2,2262,1
googlecloudplatform/python-docs-samples,5643,31,406,299,5795,5733,2015-05-04 11:26:13,2022-09-13 12:04:48,2474,36,5819,12
explosion/spacy,15606,65,405,553,24211,3934,2014-07-03 03:15:40,2022-09-20 03:35:33,5223,73,3323,24
sqlalchemy/sqlalchemy,15426,14,405,95,5962,964,2018-11-27 03:35:03,2022-09-13 01:21:01,6794,160,499,4
cloudtools/troposphere,2910,26,405,176,4773,1455,2012-12-12 09:19:46,2022-11-02 03:09:55,861,142,1228,24
joke2k/faker,3016,13,403,221,14796,1667,2012-11-12 11:00:09,2022-10-03 05:28:09,587,14,1137,6
celery/celery,12009,74,401,477,20173,4365,2009-04-24 11:31:24,2022-09-30 12:51:12,4745,510,2694,57
emeryberger/csrankings,10930,15,397,35,1901,2058,2016-05-03 12:13:00,2022-09-15 03:24:10,1184,171,3859,131
pallets/werkzeug,5136,9,397,226,6199,1654,2010-10-18 11:42:40,2022-10-22 04:05:03,1016,13,1503,2
wbond/package_control_channel,15200,2,396,38,1225,3608,2011-08-05 03:56:41,2022-10-22 04:09:10,154,8,8470,52
certbot/certbot,10512,781,396,778,29214,3257,2014-11-12 02:52:20,2022-08-29 07:24:48,5036,540,4313,69
ytdl-org/youtube-dl,18612,7,392,2189,113613,8182,2010-10-31 02:35:07,2022-09-23 07:15:39,25183,3864,4758,918
jupyter-server/jupyter_server,12423,15,392,41,337,195,2016-09-21 07:18:45,2022-09-24 12:00:45,306,111,698,19
ytdl-patched/ytdl-patched,23030,22,391,0,159,22,2021-06-11 11:57:26,2022-09-20 11:25:55,38,0,9,0
mitmproxy/mitmproxy,9999,11,390,614,28811,3495,2010-02-16 04:10:13,2022-09-30 05:51:58,2906,241,2412,29
tlc-pack/relax,9264,42,390,28,123,45,2021-06-22 10:05:26,2022-09-26 10:09:57,74,50,184,7
pypa/setuptools,13282,66,389,87,1809,945,2016-03-29 02:02:33,2022-10-03 01:44:43,2164,512,1280,21
conan-io/conan-center-index,13116,15,388,16,624,1028,2019-08-27 09:43:58,2022-09-11 05:43:52,3047,1083,9870,237
datadog/integrations-core,12733,980,386,274,688,1165,2015-12-01 04:41:45,2022-09-05 12:47:49,501,29,12317,94
encode/django-rest-framework,8568,15,386,615,24107,6295,2011-03-02 05:13:56,2022-09-13 04:47:39,3763,101,4392,99
pytest-dev/pytest,14655,15,385,192,9275,2155,2015-06-15 08:28:27,2022-09-30 01:30:12,5018,739,4761,51
python-social-auth/social-core,3009,4,385,29,724,493,2016-08-28 03:37:58,2022-10-25 08:57:14,375,35,349,24
cython/cython,17307,25,384,230,7354,1324,2010-11-21 07:44:20,2022-09-30 07:01:43,3021,975,2014,138
pygments/pygments,6170,17,384,26,1063,453,2019-08-31 03:46:03,2022-10-02 05:02:33,1625,338,618,51
python/peps,9706,2,383,238,3362,1320,2013-10-08 01:27:12,2022-10-03 07:22:41,300,17,2456,14
